Input	Predicted	Actual_output
i called you .	['je', 't', 'ai', 'appele', '.']	je vous ai appeles .
is that so ?	['est', 'ce', 't', 'il', 'ainsi']	en est il ainsi ?
i m creative .	['je', 'suis', 'creative', '.']	je suis creatif .
are you home ?	['etes', 'vous', 'a', 'la', 'maison']	etes vous chez nous ?
tom s fast .	['tom', 'est', 'rapidement', '.']	tom est rapide .
cool down .	['restez', 'baisse', '!']	calmez vous !
get your gear .	['va', 'chercher', 'tes', 'affaires', '!']	allez chercher votre tenue !
go slow .	['allez', 'doucement', '!']	va doucement !
i m your boss .	['je', 'suis', 'votre', 'chef', '.']	je suis ton chef .
keep driving .	['roule', '!']	avance !
he is not in .	['il', 'n', 'est', 'pas', 'a', 'l', '.', '.']	il n est pas a l interieur .
anybody home ?	['quelqu', 'un', 'est', 'il', 'la', '?', 'dans']	y a t il quelqu un ?
he was lucky .	['il', 'etait', 'eu', '.', '.', '.', '.']	il a eu de la chance .
we all work .	['nous', 'travaillons', 'tous', '.']	nous travaillons tous .
let me out !	['laisse', 'moi', 'sortir', '!']	laissez moi sortir !
keep trying .	['continuez', 'd', 'essayer', '.']	continuez a essayer .
i m resilient .	['je', 'suis', 'tenace', '.']	je suis endurante .
i m lucky .	['je', 'suis', 'chanceuse', '.']	je suis chanceux .
who saw me ?	['qui', 'me', 'mettez', '?', '?']	qui m a vu ?
i ve finished .	['j', 'ai', 'fini', '.']	j ai termine .
i saw you .	['je', 'vous', 'ai', 'vues', '.']	je vous ai vus .
take care .	['prenez', 'soin', 'de', 'vous', '.']	prends soin de toi .
i ate quickly .	['j', 'ai', 'deja', 'mange', '.']	j ai mange rapidement .
i pay taxes .	['je', 'paie', 'des', 'impots', '.']	je paye des accises .
he s english .	['il', 'est', 'anglais', '.']	il est anglais .
i m retired .	['je', 'suis', 'pensionnee', '.']	je suis retraitee .
i deserve it .	['je', 'y', 'ai', '.']	je le merite .
stay in bed .	['restez', 'alites', '!']	restez alitee !
you were shy .	['tu', 'peux', 'timide', '.']	vous etiez timide .
we lost .	['nous', 'avons', 'ete', 'defaites']	nous fumes battues .
i can manage .	['je', 'peux', 'expliquer', '.', '.']	je peux me debrouiller .
they re weak .	['ils', 'sont', 'faibles', '.']	ils sont faibles .
call us .	['appelez', 'nous', '!']	appelle nous !
you re nuts !	['vous', 'etes', 'givre', '!']	vous etes givrees !
i burned it .	['je', 'l', 'ai', 'brule', '.']	je l ai brulee .
get the box .	['fermez', 'la', 'boite', '.']	prends la boite .
he is smart .	['il', 's', 'est', '.']	il est intelligent .
this is new .	['ce', 'est', 'neuf', '.']	c est nouveau .
i like movies .	['j', 'aime', 'le', 'cinema', '.']	j aime le cinema .
go ahead .	['passe', 'devant', '!']	vas y !
drop it !	['laisse', 'tomber', '!', '!']	laissez le tomber !
are you busy ?	['es', 'tu', 'occupes', '?']	etes vous occupe ?
it will burn .	['ca', 'a', 'neige', '.']	ca va bruler .
i believe you .	['je', 'te', 'crois', '.']	je vous crois .
we ll cook .	['nous', 'echouerons', '.', '.', '.']	nous ferons la cuisine .
i needed help .	['j', 'ai', 'eu', 'besoin', 'd', 'aide', '.', '.']	il m a fallu de l aide .
stand back !	['recule', 'toi', '!']	reculez vous !
let s split .	['divisons', 'nous', '!']	separons nous !
i feel faint .	['je', 'me', 'sens', 'pris', 'de', 'malaise', 'evanouir']	je me sens prise de malaise .
they re mine .	['ils', 'sont', 'miennes', '.', '.']	ce sont les miennes .
you tried .	['tu', 'as', 'essaye', '.']	vous avez essaye .
never mind !	['t', 'inquiete', 'pas', '.', '.', '.']	n y prete pas attention .
don t move .	['ne', 'bouge', 'pas', '.']	ne bougez pas .
you re big .	['tu', 'etes', 'grand', '.']	vous etes grand .
i ve done it .	['je', 'l', 'ai', 'fait', '.']	je l ai fait .
you re nuts !	['vous', 'etes', 'givre', '!']	vous etes givree !
stop staring .	['arrete', 'de', 'me', 'fixer', '!']	arretez de me fixer !
can you swim ?	['savez', 'vous', 'nager', '?', 'sais', 'nager', '?']	est ce que vous savez nager ?
i love summer .	['j', 'adore', 'le', 'r', '.']	j adore l ete .
i woke you up .	['je', 't', 'ai', 'reveille', '.']	je t ai reveillee .
i must refuse .	['il', 'me', 'faut', 'refuser']	je dois refuser .
i go jogging .	['j', 'ai', 'de', 'de']	je vais courir .
can we leave ?	['peut', 'on', 's', 'en']	pouvons nous partir ?
i ll quit .	['je', 'vais', 'abandonner']	j abandonnerai .
have a donut .	['prenez', 'un', 'beignet', '.']	prends un beignet .
i feel ready .	['je', 'me', 'sens', 'pret', '.']	je me sens pret .
he let us go .	['il', 'nous', 'a', 'nous', 'en']	il nous laissa partir .
easy does it .	['on', 'n', 'est', 'pas']	on se calme !
i feel blue .	['je', 'me', 'sens', 'en', 'veine']	je me sens deprimee .
take mine .	['prends', 'les', 'miennes', '.']	prends la mienne .
go ahead .	['passe', 'devant']	poursuis !
do you get it ?	['vous', 'captez', '?', 'vous', 'captez', '?']	est ce que tu captes ?
you re quiet .	['tu', 'es', 'calme', '.']	tu es tranquille .
do it again !	['fais', 'le', 'de', 'nouveau', '!']	faites le a nouveau !
is it nearby ?	['est', 'ce', 'dans', 'les']	est ce proche ?
you re stuck .	['t', 'es', 'plantee', '.']	vous etes plante .
i ran outside .	['je', 'courus', 'dehors', '.', 'courus', 'dehors', '.']	j ai couru a l exterieur .
no way !	['c', 'est', 'exclu', '!']	en aucun cas .
i have to go .	['il', 'me', 'faut', 'y', 'aller', '.', '.']	il me faut m en aller .
get down .	['lachez', 'vous']	descends !
loosen up .	['laisse', 'toi', '!']	echauffe toi !
too late .	['j', 'en', 'retard']	trop tard .
who did it ?	['qui', 'l', 'a', 'fait', '?']	qui a fait ca ?
i am ready .	['je', 'suis', 'pret', '.']	je suis pret .
he will come .	['il', 'devrait', 'arriver']	il viendra .
i m crazy .	['je', 'suis', 'folle', '.']	je suis fou .
you re early .	['vous', 'etes', 'matinal', '.']	tu es matinale .
i want it .	['je', 'veux', 'le', '.']	je le veux .
warn tom .	['avertis', 'tom', '.']	previens tom .
don t worry .	['t', 'vous', 'en', 'faites', 'pas', '.']	ne t en fais pas .
she sued him .	['elle', 'le', 'poursuivit', 'en', 'justice', '.', '.']	elle lui a fait un proces .
